部材名,損傷名1,損傷名2,損傷名3,損傷名4
舗装 Pm0201,⑮舗装の異常-e,写真番号-28,,
舗装 Pm0201,⑮舗装の異常-e,写真番号-27,,
3.0,2300×1300,,,
4.0,3400×1200,,,
3.0,1300×6000,,,
"舗装 Pm0101,0201",⑮舗装の異常-e,写真番号-25,,
S616,,,,
支承本体 Bh0102,沓座モルタル Bm0102,NON-a,,
PC定着部 Cn1203,NON-a,,,
100×200,,,,
150×150,,,,
100×180,,,,
※特記なき損傷,"排水ます Dr0102,0201,0202 ⑰その他(分類6:埋没)-e",,,
S646 前-20,,,,
H259 前-19,,,,
1径間,,,,
1径間,,,,
